card_name,card_set,card_number
Precision Vision,On Target,69
On the Money,On Target,70
Bill Collector,On Target,71
Deadeye Duo,On Target,72
Armor Up,Hockey,73
Show Time,Hockey,74
Field Day,Hockey,75
Shall Not Pass,Hockey,76
Slander!,Hockey,77
Hi-Jink,Hockey,78
Huge Savings,Hockey,79
Slapshot,Hockey,80
Best in Field,Hockey,81
Ramped Excitement,Skateboarding,82
Pad Mates,Skateboarding,83
Lazy Daisy,Skateboarding,84
Daily Grind,Skateboarding,85
Boarder Collie,Skateboarding,86
Lip Smacking,Skateboarding,87
Stair Master,Skateboarding,88
Cool Cat,Skateboarding,89
Underdogs,Skateboarding,90
Set the Stage,Gymnastics,91
In Tandem,Gymnastics,92
Ringing True,Gymnastics,93
Beam Me Up!,Gymnastics,94
Razzle Dazzle,Gymnastics,95
Ribbon Dance,Gymnastics,96
Ribbon Dance,Gymnastics,97
Perfect Dismount,Gymnastics,98
Victory Podium,Gymnastics,99
Loaded Dice,Dice Lifting,100
Lying in Weight,Dice Lifting,101
Strong Support,Dice Lifting,102
Hold It!,Dice Lifting,103
Powerful Aura,Dice Lifting,104
Easy-Peasy,Dice Lifting,105
Center Stage,Dice Lifting,106
Strong Numbers,Dice Lifting,107
Worth It,Dice Lifting,108
Worth It,Railroad Racing,109
The Tortoise,Railroad Racing,110
The Hare,Railroad Racing,111
Squeaky Clean,Railroad Racing,112
Pumped Up!,Railroad Racing,113
Track Meet,Railroad Racing,114
Calamity!,Railroad Racing,115
Engine That Could,Railroad Racing,116
Wins The Race!,Railroad Racing,117
The Arena,Ping Pong,118
Old Faithful,Ping Pong,119
Making Gains,Ping Pong,120
Good Sports,Ping Pong,121
Pink’s Serve,Ping Pong,122
Locked In,Ping Pong,123
Lucky Shot,Ping Pong,124
A Net Win,Ping Pong,125
Paddle Pals,Ping Pong,126
The Money Pit,Diving,127
Shack Things Up,Diving,128
"Hi, Divers!",Diving,129
Vertigo,Diving,130
Sync and Swim,Diving,131
Cold Feet,Diving,132
Pair of Jacks,Diving,133
Don’t Look Down,Diving,134
Party Time!,Diving,135
Bright and Early,Archery,136
Compound Interest,Archery,137
Precision Pros,Archery,138
Tuning In,Archery,139
Positions!,Archery,140
On The Draw,Archery,141
Well Taut,Archery,142
Arrow-Dynamic,Archery,143
Double Bullseye,Archery,144
Double Bullseye,Surfing,145
Don’t Sweat It,Surfing,146
Wax Poetic,Surfing,147
Pipe Dreams,Surfing,148
Surf’s Up!,Surfing,149
Crushed It,Surfing,150
Wipeout!,Surfing,151
Tubular,Surfing,152
Walking on Water,Surfing,153
Parking Prix,Parallel Parking,154
Ready to Roll,Parallel Parking,155
Tune-Up,Parallel Parking,156
Hello You,Parallel Parking,157
Right Angle,Parallel Parking,158
Gearing Up,Parallel Parking,159
Park Place,Parallel Parking,160
Mind The Gap,Parallel Parking,161
Parking Ace,Parallel Parking,162
The Circuit,Wheelbarrow Race,163
Quad Strength,Wheelbarrow Race,164
Over-Tired,Wheelbarrow Race,165
Missing in Action,Wheelbarrow Race,166
Rearing To Go,Wheelbarrow Race,167
On My Mark!,Wheelbarrow Race,168
Barrowing Forward,Wheelbarrow Race,169
Sabotage!,Wheelbarrow Race,170
Wheel Win,Wheelbarrow Race,171
A Day Out,Remote Duck Races,172
Monarch of the Sea,Remote Duck Races,173
Ace in the Hole,Remote Duck Races,174
Dapper Fellows,Remote Duck Races,175
Robo-Flock,Remote Duck Races,176
Duck and Cover,Remote Duck Races,177
Mine? Mine?,Remote Duck Races,178
Quack-ing!,Remote Duck Races,179
Great Success!,Remote Duck Races,180
Take Me Out,Baseball,181
Play Ball,Baseball,182
Glovin’ It,Baseball,183
For The Home Team,Baseball,184
Throwing Heat,Baseball,185
Crack of the Bat,Baseball,186
Let It Slide,Baseball,187
Home Sweet Home,Baseball,188
"Game, Set, Catch",Baseball,189
Prestigious Piste,Fencing,190
Sabre Stars,Fencing,191
Present Arms,Fencing,192
Salut Des Armes,Fencing,193
Esquive,Fencing,194
Touch!,Fencing,195
Prime Victory,Fencing,196
Blade Brilliance,Fencing,197
En Garde Gold,Fencing,198
Half-Mile Aisle,Shopping Spree,199
Proper Shopper,Shopping Spree,200
Track & Trolly,Shopping Spree,201
On Your Markets,Shopping Spree,202
Aisle Athletes,Shopping Spree,203
Bursting Buggy,Shopping Spree,204
Can-Do Attitude,Shopping Spree,205
Weight-In Win,Shopping Spree,206
Cart Dash Champs,Shopping Spree,207
